,Summer_two_weeks_dpH,Summer_Full_exp_dpH,Winter_two_weeks_dpH,Winter_Full_exp_dpH,Summer_two_weeks_omega,Summer_Full_exp_omega,Winter_two_weeks_omega,Winter_Full_exp_omega
0,0.0,0.0,0.0,0.0,1.9121752,1.9121752,1.1254023,1.1254023
1,0.0,0.0,0.0,0.0,1.8230634,1.8230634,1.1252216,1.1252216
2,0.0,0.0,0.0,0.0,1.8154316,1.8154316,1.1265663,1.1265663
3,0.0,0.0,0.0,0.0,1.8144603,1.8144603,1.1251484,1.1251484
4,0.0,0.0,0.0,0.0,1.8102921,1.8102921,1.12136,1.12136
5,0.0,0.0,0.0,0.0,1.8008369,1.8008369,1.1172565,1.1172565
6,0.0,0.0,0.0,0.0,1.7790684,1.7790684,1.11035,1.11035
7,0.0,0.0,0.0,0.0,1.7542871,1.7542871,1.099295,1.099295
8,0.0,0.0,0.0,0.0,1.6931194,1.6931194,1.0840971,1.0840971
9,0.0,0.0,0.0,0.0,1.617781,1.617781,1.069146,1.069146
10,0.0,0.0,0.0,0.0,1.6082939,1.6082939,1.0393672,1.0393672
11,0.0,0.0,0.0,0.0,1.704423,1.704423,0.9902145,0.9902145
12,0.0,0.0,0.0,0.0,1.860536,1.860536,0.9601597,0.9601597
13,0.0,0.0,0.0,0.0,1.9386579,1.9386579,0.9079766,0.9079766
14,0.0,0.0,0.0,0.0,1.9574498,1.9574498,0.8529478,0.8529478
15,0.0,0.0,0.0,0.0,1.9448051,1.9448051,0.79410833,0.79410833
16,0.0,0.0,0.0,0.0,1.9490207,1.9490207,0.75889474,0.75889474
17,0.0,0.0,0.0,0.0,1.9647274,1.9647274,0.7531357,0.7531357
18,0.0,0.0,0.0,0.0,1.9656038,1.9656038,0.7745085,0.7745085
19,0.0,0.0,0.0,0.0,1.3122832,1.3122832,0.82687134,0.82687134
20,0.0,0.0,0.0,0.0,1.9738683,1.9738683,0.8531926,0.8531926
21,0.0,0.0,0.0,0.0,1.9837766,1.9837766,0.8276551,0.8276551
22,0.0,0.0,0.0,0.0,1.9851872,1.9851872,0.8807743,0.8807743
23,0.0,0.0,0.0,0.0,1.9751071,1.9751071,0.90842056,0.90842056
24,0.0,0.0,0.0,0.0,1.9600282,1.9600282,0.8839347,0.8839347
25,0.0,0.0,0.0,0.0,1.9467096,1.9467096,0.8541236,0.8541236
26,0.0,0.0,0.0,0.0,1.9347911,1.9347911,0.9090428,0.9090428
27,0.0,0.0,0.0,0.0,1.9225563,1.9225563,0.9364875,0.9364875
28,0.0,0.0,0.0,0.0,1.9072577,1.9072577,0.91058904,0.91058904
29,0.0,0.0,0.0,0.0,1.8919836,1.8919836,0.9717472,0.9717472
30,0.0,0.0,0.0,0.0,1.8959074,1.8959074,0.9941759,0.9941759
31,0.0,0.0,0.0,0.0,1.8857385,1.8857385,1.0003642,1.0003642
32,0.0,0.0,0.0,0.0,1.857556,1.857556,0.9985599,0.9985599
33,0.0,0.0,0.0,0.0,1.8110495,1.8110495,1.0013078,1.0013078
34,0.0,0.0,0.0,0.0,1.699994,1.699994,1.0126119,1.0126119
35,0.0,0.0,0.0,0.0,1.5326575,1.5326575,1.044401,1.044401
36,0.0,0.0,0.0,0.0,1.4629507,1.4629507,1.0775467,1.0775467
37,0.0,0.0,0.0,0.0,1.6941344,1.6941344,1.0920023,1.0920023
38,0.0,0.0,0.0,0.0,1.8857694,1.8857694,1.1183654,1.1183654
39,0.0,0.0,0.0,0.0,1.8694998,1.8694998,1.1562344,1.1562344
40,0.0,0.0,0.0,0.0,1.8240858,1.8240858,1.2036282,1.2036282
41,0.0,0.0,0.0,0.0,1.821517,1.821517,1.2468973,1.2468973
42,0.0,0.0,0.0,0.0,1.8420649,1.8420649,1.2707225,1.2707225
43,0.0,0.0,0.0,0.0,1.8647753,1.8647753,1.2656003,1.2656003
44,0.0,0.0,0.0,0.0,1.8611645,1.8611645,1.2447714,1.2447714
45,0.0,0.0,0.0,0.0,1.8418962,1.8418962,1.2089113,1.2089113
46,0.0,0.0,0.0,0.0,1.8217837,1.8217837,1.1743183,1.1743183
47,0.0,0.0,0.0,0.0,1.8177309,1.8177309,1.1556159,1.1556159
48,0.0,0.0,0.0,0.0,1.8336126,1.8336126,1.1455053,1.1455053
49,0.0,0.0,0.0,0.0,1.8331531,1.8331531,1.1414651,1.1414651
50,0.0,0.0,0.0,0.0,1.7387627,1.7387627,1.141348,1.141348
51,0.0,0.0,0.0,0.0,1.6668987,1.6668987,1.1424819,1.1424819
52,0.0,0.0,0.0,0.0,1.6747049,1.6747049,1.1419836,1.1419836
53,0.0,0.0,0.0,0.0,1.6763015,1.6763015,1.1369983,1.1369983
54,0.0,0.0,0.0,0.0,1.665017,1.665017,1.1229204,1.1229204
55,0.0,0.0,0.0,0.0,1.6520514,1.6520514,1.0973374,1.0973374
56,0.0,0.0,0.0,0.0,1.6360149,1.6360149,1.0689746,1.0689746
57,0.0,0.0,0.0,0.0,1.6141042,1.6141042,1.0474826,1.0474826
58,0.0,0.0,0.0,0.0,1.6027179,1.6027179,1.0347975,1.0347975
59,0.0,0.0,0.0,0.0,1.6301087,1.6301087,1.0293761,1.0293761
60,0.0,0.0,0.0,0.0,1.6752576,1.6752576,1.030992,1.030992
61,0.0,0.0,0.0,0.0,1.6824497,1.6824497,1.0292875,1.0292875
62,0.0,0.0,0.0,0.0,1.6955117,1.6955117,1.0002213,1.0002213
63,0.0,0.0,0.0,0.0,1.6916767,1.6916767,0.96861076,0.96861076
64,0.0,0.0,0.0,0.0,1.6772428,1.6772428,1.0008566,1.0008566
65,0.0,0.0,0.0,0.0,1.6747446,1.6747446,1.0495638,1.0495638
66,0.0,0.0,0.0,0.0,1.6775664,1.6775664,1.08438,1.08438
67,0.0,0.0,0.0,0.0,1.6817012,1.6817012,1.1206582,1.1206582
68,0.0,0.0,0.0,0.0,1.6826077,1.6826077,1.2330985,1.2330985
69,0.0,0.0,0.0,0.0,1.678944,1.678944,1.1686717,1.1686717
70,0.0,0.0,0.0,0.0,1.6742586,1.6742586,1.1016474,1.1016474
71,0.0,0.0,0.0,0.0,1.6680077,1.6680077,0.993048,0.993048
72,0.0,0.0,0.0,0.0,1.6626987,1.6626987,0.9854345,0.9854345
73,0.0,0.0,0.0,0.0,1.6550145,1.6550145,0.98485595,0.98485595
74,0.0,0.0,0.0,0.0,1.5987583,1.5987583,0.98539704,0.98539704
75,0.0,0.0,0.0,0.0,1.4675913,1.4675913,0.6569838,0.6569838
76,0.0,0.0,0.0,0.0,1.4030857,1.4030857,0.98582125,0.98582125
77,0.0,0.0,0.0,0.0,1.396396,1.396396,0.9886427,0.9886427
78,0.0,0.0,0.0,0.0,1.393,1.393,0.99310493,0.99310493
79,0.0,0.0,0.0,0.0,1.3961793,1.3961793,0.99296135,0.99296135
80,0.0,0.0,0.0,0.0,1.4118743,1.4118743,0.99013966,0.99013966
81,0.043595314,0.043595314,0.0,0.009025097,1.5789355,1.5789355,0.98910767,1.0096016
82,0.072962284,0.072962284,0.0,0.017514229,1.7008771,1.7008771,0.98726445,1.0273384
83,0.09629679,0.09629679,0.0,0.048664093,1.7920704,1.7920704,0.95661896,1.0684408
84,0.08177376,0.08177376,0.0,0.03319168,1.7527574,1.7527574,0.89984137,0.9705951
85,0.05269003,0.05269003,0.0,0.018781185,1.686297,1.686297,0.9867713,1.0298873
86,0.034154892,0.034154892,0.0,0.0025744438,1.6517774,1.6517774,1.0258937,1.0319055
87,0.034417152,0.034417152,0.0,0.0024328232,1.6873063,1.6873063,1.1552366,1.1615943
88,0.04761648,0.04761648,0.0,0.0034241676,1.760663,1.760663,1.0388399,1.046908
89,0.05251646,0.05251646,0.0,0.008790493,1.7950293,1.7950293,0.59653825,0.60885304
90,0.03708124,0.03708124,0.0,0.006008148,1.7569915,1.7569915,0.50675315,0.51393384
91,0.027889729,0.027889729,0.0,0.008780003,1.7664791,1.7664791,0.4848241,0.49491513
92,0.023012638,0.023012638,0.0,0.02138424,1.7637863,1.7637863,0.48399732,0.50888324
93,0.023171902,0.023171902,0.0,0.045279026,1.7745494,1.7745494,0.48742017,0.54192406
94,0.03632593,0.03632593,0.0,0.059061527,1.8386316,1.8386316,0.49450967,0.5677321
95,0.060753345,0.060753345,0.0,0.06102562,1.9386044,1.9386044,0.5103238,0.5884586
96,0.07945824,0.07945824,0.0,0.06846619,1.997312,1.997312,0.5222241,0.61773676
97,0.05612564,0.05612564,0.0,0.08540726,1.8832994,1.8832994,0.52925324,0.66389364
98,0.033638,0.033638,0.0,0.11043978,1.7184528,1.7184528,0.53510696,0.7318876
99,0.027274609,0.027274609,0.0,0.14444542,1.5847301,1.5847301,0.5433416,0.83528
100,0.014901638,0.014901638,0.0,0.1810832,1.6797236,1.6797236,0.5570733,0.97036964
101,0.008644104,0.008644104,0.0,0.19898796,1.6476135,1.6476135,0.57176375,1.0720867
102,0.011760712,0.011760712,0.0,0.28334427,1.6134456,1.6134456,0.58994585,1.1299814
103,0.021522045,0.021522045,0.0,0.23255825,1.6404301,1.6404301,0.6120636,1.0451369
104,0.02934885,0.02934885,0.0,0.16043139,1.6559168,1.6559168,0.6293352,0.9103901
105,0.031150818,0.031150818,0.0,0.10073614,1.6497148,1.6497148,0.64634526,0.81476593
106,0.03400278,0.03400278,0.0,0.07481098,1.6806685,1.6806685,0.6673669,0.7926962
107,0.034273624,0.034273624,0.0,0.086616516,1.7120184,1.7120184,0.6816955,0.8318055
108,0.035758972,0.035758972,0.0,0.12182808,1.7387028,1.7387028,0.6921571,0.9151931
109,0.03788042,0.03788042,0.0,0.14799976,1.7651386,1.7651386,0.70232135,0.9864607
110,0.04083252,0.04083252,0.0,0.11746025,1.7827815,1.7827815,0.71171004,0.93402267
